product_name,topic_id,doc_count,label,top_keywords
Acumatica,9,372,initial setup | initial | setup,"initial setup, initial, setup, implementation, wasn, team, orders, issues, help, data"
Certinia,23,11,love | enjoy | point,"love, enjoy, point, easy, sure, actually, going, let"
Certinia,13,10,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
Certinia,28,9,setup | set | initial,"setup, set, initial, initial setup, complicated, took, onboarding, instructions, easy, configuration"
Certinia,38,8,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
Certinia,15,6,log | security | user mode,"log, security, user mode, mode, login, multi user, roles, users, multi, password"
Certinia,22,6,based | internet | access,"based, internet, access, offline, internet connection, version, connection, data, storage, server"
Certinia,30,6,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
Certinia,27,5,sync | save | data,"sync, save, data, syncing, backups, backup, saving, computer, lose, automatically"
Certinia,32,5,month | entry | reconciling,"month, entry, reconciling, entries, dates, date, post, auto, description"
Certinia,48,5,country | english | terminology,"country, english, terminology, language, countries, consultants, versions, speak"
Certinia,16,4,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
Certinia,36,4,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return"
Certinia,29,3,journal | journal entries | ledger,"journal, journal entries, ledger, entries, journal entry, general ledger, general, entry, journals, posted"
Certinia,33,3,crm | integration | email,"crm, integration, email, marketing, mail, templates, outlook, employees, leads, emails"
Certinia,37,3,project | field | projects,"project, field, projects, field service, project management, module, management, service, calendar, tracking"
Certinia,45,3,check | aging | ap ar,"check, aging, ap ar, vendor, bills, ar ap, module, printing"
Certinia,46,3,inquiries | generic | data,"inquiries, generic, data, tables, inquiry, queries, pull data, pull, pulling, table"
Certinia,49,3,audit | trail | audit trail,"audit, trail, audit trail, changed, control, changes, deleted, logs"
Certinia,25,2,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
Certinia,35,2,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option"
Certinia,40,2,accounts | account | chart,"accounts, account, chart, sub, chart accounts, multiple, company, accounts payable, payable, linking"
Certinia,41,2,consolidation | entity | entities,"consolidation, entity, entities, companies, multiple entities, multiple, group, company, consolidate, subsidiary"
Certinia,6,1,accounting | bank | businesses,"accounting, bank, businesses, support, advanced, accounts, small, users"
Certinia,7,1,learning | learning curve | curve,"learning, learning curve, curve, customer, feel, reports, accounting, new users, helpful, team"
Certinia,20,1,inventory | orders | inventory management,"inventory, orders, inventory management, order, sales, management, items, purchase, vendor, item"
Certinia,21,1,search | searches | saved,"search, searches, saved, saved searches, fields, searching, saved search, search bar, word"
Certinia,26,1,help | documentation | questions,"help, documentation, questions, section, helpful, answers, answer, articles, specific"
Certinia,31,1,dashboard | dashboards | charts,"dashboard, dashboards, charts, data, useful, dynamic, reports, plan, summary, graphs"
Certinia,34,1,modules | add ons | ons,"modules, add ons, ons, module, additional, cost, bundle, additional modules, certain modules, expensive"
Certinia,43,1,manufacturing | construction | limitations,"manufacturing, construction, limitations, module, functionality, industries, scheduling, industry, development, specific"
Certinia,50,1,printing | print | checks,"printing, print, checks, check, printed, memo, minimize, batch, order, information"
Certinia,52,1,windows | open | window,"windows, open, window, tabs, windows open, screen, tab, multiple, new tab, browser"
Certinia,56,1,say | opinion | dont,"say, opinion, dont, criticism, impressed, accross, reversal, pricy, noticeable, havent"
Certinia,57,1,dark | color | eyes,"dark, color, eyes, mode, light, text, option, little bit, customizable, green"
Intuit Enterprise Suite,2,4,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
Intuit Enterprise Suite,1,3,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
Intuit Enterprise Suite,13,2,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
Intuit Enterprise Suite,3,1,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
Intuit Enterprise Suite,4,1,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
Intuit Enterprise Suite,8,1,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
Intuit Enterprise Suite,10,1,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
Intuit Enterprise Suite,16,1,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
Intuit Enterprise Suite,18,1,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
Intuit Enterprise Suite,19,1,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
Intuit Enterprise Suite,25,1,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
Intuit Enterprise Suite,30,1,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
Intuit Enterprise Suite,36,1,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return"
Intuit Enterprise Suite,38,1,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
Intuit Enterprise Suite,47,1,import | csv | imports,"import, csv, imports, importing, file, data, error, upload, export, importing data"
Microsoft Dynamics 365,3,172,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
Microsoft Dynamics 365,10,77,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
Microsoft Dynamics 365,2,67,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
Microsoft Dynamics 365,1,58,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
Microsoft Dynamics 365,11,54,slow | load | loading,"slow, load, loading, takes, times, speed, performance, bit slow, lags, lag"
Microsoft Dynamics 365,4,41,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
Microsoft Dynamics 365,17,39,customization | customizations | customize,"customization, customizations, customize, customizable, custom, options, customisation, customized, forms, technical"
Microsoft Dynamics 365,19,39,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
Microsoft Dynamics 365,24,25,implementation | complexity | complex,"implementation, complexity, complex, implement, implementation process, steps, workflow, complicated, processes, workflows"
Microsoft Dynamics 365,18,19,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
Microsoft Dynamics 365,16,18,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
Microsoft Dynamics 365,28,17,setup | set | initial,"setup, set, initial, initial setup, complicated, took, onboarding, instructions, easy, configuration"
Microsoft Dynamics 365,22,16,based | internet | access,"based, internet, access, offline, internet connection, version, connection, data, storage, server"
Microsoft Dynamics 365,30,14,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
Microsoft Dynamics 365,15,13,log | security | user mode,"log, security, user mode, mode, login, multi user, roles, users, multi, password"
Microsoft Dynamics 365,20,13,inventory | orders | inventory management,"inventory, orders, inventory management, order, sales, management, items, purchase, vendor, item"
Microsoft Dynamics 365,38,13,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
Microsoft Dynamics 365,8,12,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
Microsoft Dynamics 365,33,11,crm | integration | email,"crm, integration, email, marketing, mail, templates, outlook, employees, leads, emails"
Microsoft Dynamics 365,13,10,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
Microsoft Dynamics 365,23,10,love | enjoy | point,"love, enjoy, point, easy, sure, actually, going, let"
Microsoft Dynamics 365,27,10,sync | save | data,"sync, save, data, syncing, backups, backup, saving, computer, lose, automatically"
Microsoft Dynamics 365,25,9,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
Microsoft Dynamics 365,29,9,journal | journal entries | ledger,"journal, journal entries, ledger, entries, journal entry, general ledger, general, entry, journals, posted"
Microsoft Dynamics 365,40,9,accounts | account | chart,"accounts, account, chart, sub, chart accounts, multiple, company, accounts payable, payable, linking"
Microsoft Dynamics 365,21,8,search | searches | saved,"search, searches, saved, saved searches, fields, searching, saved search, search bar, word"
Microsoft Dynamics 365,26,8,help | documentation | questions,"help, documentation, questions, section, helpful, answers, answer, articles, specific"
Microsoft Dynamics 365,39,8,automation | reviews | reconciled,"automation, reviews, reconciled, automate, accurate, improve"
Microsoft Dynamics 365,14,7,bank | reconciliation | currency,"bank, reconciliation, currency, feeds, bank feeds, transactions, account, currencies, bank reconciliation, bank account"
Microsoft Dynamics 365,46,7,inquiries | generic | data,"inquiries, generic, data, tables, inquiry, queries, pull data, pull, pulling, table"
Microsoft Dynamics 365,0,5,version | accounting | enterprise,"version, accounting, enterprise, support, customer, quick, payroll, years, business"
Microsoft Dynamics 365,37,5,project | field | projects,"project, field, projects, field service, project management, module, management, service, calendar, tracking"
Microsoft Dynamics 365,41,5,consolidation | entity | entities,"consolidation, entity, entities, companies, multiple entities, multiple, group, company, consolidate, subsidiary"
Microsoft Dynamics 365,50,5,printing | print | checks,"printing, print, checks, check, printed, memo, minimize, batch, order, information"
Microsoft Dynamics 365,12,4,complex | integration | implementation,"complex, integration, implementation, systems, complexity, cost, premise, users, business, compared"
Microsoft Dynamics 365,32,4,month | entry | reconciling,"month, entry, reconciling, entries, dates, date, post, auto, description"
Microsoft Dynamics 365,34,4,modules | add ons | ons,"modules, add ons, ons, module, additional, cost, bundle, additional modules, certain modules, expensive"
Microsoft Dynamics 365,31,3,dashboard | dashboards | charts,"dashboard, dashboards, charts, data, useful, dynamic, reports, plan, summary, graphs"
Microsoft Dynamics 365,45,3,check | aging | ap ar,"check, aging, ap ar, vendor, bills, ar ap, module, printing"
Microsoft Dynamics 365,47,3,import | csv | imports,"import, csv, imports, importing, file, data, error, upload, export, importing data"
Microsoft Dynamics 365,48,3,country | english | terminology,"country, english, terminology, language, countries, consultants, versions, speak"
Microsoft Dynamics 365,57,3,dark | color | eyes,"dark, color, eyes, mode, light, text, option, little bit, customizable, green"
Microsoft Dynamics 365,35,2,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option"
Microsoft Dynamics 365,52,2,windows | open | window,"windows, open, window, tabs, windows open, screen, tab, multiple, new tab, browser"
Microsoft Dynamics 365,56,2,say | opinion | dont,"say, opinion, dont, criticism, impressed, accross, reversal, pricy, noticeable, havent"
Microsoft Dynamics 365,6,1,accounting | bank | businesses,"accounting, bank, businesses, support, advanced, accounts, small, users"
Microsoft Dynamics 365,42,1,fixed | fixed asset | asset,"fixed, fixed asset, asset, asset module, module, fixed assets, prepaid, assets, asset management, depreciation"
Microsoft Dynamics 365,43,1,manufacturing | construction | limitations,"manufacturing, construction, limitations, module, functionality, industries, scheduling, industry, development, specific"
Microsoft Dynamics 365,53,1,pos | aging | fifo,"pos, aging, fifo, costing, inbuilt, link, retail, doesnt"
Microsoft Dynamics 365,58,1,migration | migrating | conversion,"migration, migrating, conversion, transferring, com, premise, transfer, people, team, exit"
Oracle NetSuite,5,514,implementation | support | team,"implementation, support, team, training, challenging, fields, searches, setup, data, feel"
Oracle NetSuite,1,182,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
Oracle NetSuite,3,117,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
Oracle NetSuite,21,93,search | searches | saved,"search, searches, saved, saved searches, fields, searching, saved search, search bar, word"
Oracle NetSuite,10,91,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
Oracle NetSuite,19,86,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
Oracle NetSuite,24,82,implementation | complexity | complex,"implementation, complexity, complex, implement, implementation process, steps, workflow, complicated, processes, workflows"
Oracle NetSuite,11,81,slow | load | loading,"slow, load, loading, takes, times, speed, performance, bit slow, lags, lag"
Oracle NetSuite,17,69,customization | customizations | customize,"customization, customizations, customize, customizable, custom, options, customisation, customized, forms, technical"
Oracle NetSuite,2,58,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
Oracle NetSuite,13,52,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
Oracle NetSuite,4,34,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
Oracle NetSuite,20,33,inventory | orders | inventory management,"inventory, orders, inventory management, order, sales, management, items, purchase, vendor, item"
Oracle NetSuite,26,33,help | documentation | questions,"help, documentation, questions, section, helpful, answers, answer, articles, specific"
Oracle NetSuite,8,28,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
Oracle NetSuite,14,26,bank | reconciliation | currency,"bank, reconciliation, currency, feeds, bank feeds, transactions, account, currencies, bank reconciliation, bank account"
Oracle NetSuite,34,26,modules | add ons | ons,"modules, add ons, ons, module, additional, cost, bundle, additional modules, certain modules, expensive"
Oracle NetSuite,15,24,log | security | user mode,"log, security, user mode, mode, login, multi user, roles, users, multi, password"
Oracle NetSuite,38,24,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
Oracle NetSuite,16,22,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
Oracle NetSuite,30,19,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
Oracle NetSuite,47,18,import | csv | imports,"import, csv, imports, importing, file, data, error, upload, export, importing data"
Oracle NetSuite,28,16,setup | set | initial,"setup, set, initial, initial setup, complicated, took, onboarding, instructions, easy, configuration"
Oracle NetSuite,18,15,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
Oracle NetSuite,23,15,love | enjoy | point,"love, enjoy, point, easy, sure, actually, going, let"
Oracle NetSuite,31,12,dashboard | dashboards | charts,"dashboard, dashboards, charts, data, useful, dynamic, reports, plan, summary, graphs"
Oracle NetSuite,39,12,automation | reviews | reconciled,"automation, reviews, reconciled, automate, accurate, improve"
Oracle NetSuite,36,11,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return"
Oracle NetSuite,41,11,consolidation | entity | entities,"consolidation, entity, entities, companies, multiple entities, multiple, group, company, consolidate, subsidiary"
Oracle NetSuite,25,10,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
Oracle NetSuite,33,10,crm | integration | email,"crm, integration, email, marketing, mail, templates, outlook, employees, leads, emails"
Oracle NetSuite,35,10,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option"
Oracle NetSuite,43,10,manufacturing | construction | limitations,"manufacturing, construction, limitations, module, functionality, industries, scheduling, industry, development, specific"
Oracle NetSuite,40,9,accounts | account | chart,"accounts, account, chart, sub, chart accounts, multiple, company, accounts payable, payable, linking"
Oracle NetSuite,46,9,inquiries | generic | data,"inquiries, generic, data, tables, inquiry, queries, pull data, pull, pulling, table"
Oracle NetSuite,27,8,sync | save | data,"sync, save, data, syncing, backups, backup, saving, computer, lose, automatically"
Oracle NetSuite,29,8,journal | journal entries | ledger,"journal, journal entries, ledger, entries, journal entry, general ledger, general, entry, journals, posted"
Oracle NetSuite,45,8,check | aging | ap ar,"check, aging, ap ar, vendor, bills, ar ap, module, printing"
Oracle NetSuite,22,7,based | internet | access,"based, internet, access, offline, internet connection, version, connection, data, storage, server"
Oracle NetSuite,32,7,month | entry | reconciling,"month, entry, reconciling, entries, dates, date, post, auto, description"
Oracle NetSuite,0,6,version | accounting | enterprise,"version, accounting, enterprise, support, customer, quick, payroll, years, business"
Oracle NetSuite,12,6,complex | integration | implementation,"complex, integration, implementation, systems, complexity, cost, premise, users, business, compared"
Oracle NetSuite,37,6,project | field | projects,"project, field, projects, field service, project management, module, management, service, calendar, tracking"
Oracle NetSuite,53,6,pos | aging | fifo,"pos, aging, fifo, costing, inbuilt, link, retail, doesnt"
Oracle NetSuite,57,6,dark | color | eyes,"dark, color, eyes, mode, light, text, option, little bit, customizable, green"
Oracle NetSuite,42,5,fixed | fixed asset | asset,"fixed, fixed asset, asset, asset module, module, fixed assets, prepaid, assets, asset management, depreciation"
Oracle NetSuite,48,5,country | english | terminology,"country, english, terminology, language, countries, consultants, versions, speak"
Oracle NetSuite,54,5,mrp | planning | wise,"mrp, planning, wise, capabilities, write, definitely improved, setup pretty, wizard, manage"
Oracle NetSuite,49,4,audit | trail | audit trail,"audit, trail, audit trail, changed, control, changes, deleted, logs"
Oracle NetSuite,51,4,wms | robust | box,"wms, robust, box, order, nearly, license, locations, doesn, native, module"
Oracle NetSuite,58,4,migration | migrating | conversion,"migration, migrating, conversion, transferring, com, premise, transfer, people, team, exit"
Oracle NetSuite,9,3,initial setup | initial | setup,"initial setup, initial, setup, implementation, wasn, team, orders, issues, help, data"
Oracle NetSuite,6,2,accounting | bank | businesses,"accounting, bank, businesses, support, advanced, accounts, small, users"
Oracle NetSuite,52,2,windows | open | window,"windows, open, window, tabs, windows open, screen, tab, multiple, new tab, browser"
Oracle NetSuite,55,2,api | calls | apis,"api, calls, apis, documentation, access, limited, little bit, development, database, track"
Oracle NetSuite,7,1,learning | learning curve | curve,"learning, learning curve, curve, customer, feel, reports, accounting, new users, helpful, team"
Oracle NetSuite,56,1,say | opinion | dont,"say, opinion, dont, criticism, impressed, accross, reversal, pricy, noticeable, havent"
QuickBooks Desktop Pro,0,400,version | accounting | enterprise,"version, accounting, enterprise, support, customer, quick, payroll, years, business"
QuickBooks Desktop Pro,4,123,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
QuickBooks Desktop Pro,1,99,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
QuickBooks Desktop Pro,2,95,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
QuickBooks Desktop Pro,8,78,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
QuickBooks Desktop Pro,11,78,slow | load | loading,"slow, load, loading, takes, times, speed, performance, bit slow, lags, lag"
QuickBooks Desktop Pro,3,73,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
QuickBooks Desktop Pro,18,73,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
QuickBooks Desktop Pro,15,61,log | security | user mode,"log, security, user mode, mode, login, multi user, roles, users, multi, password"
QuickBooks Desktop Pro,25,56,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
QuickBooks Desktop Pro,13,49,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
QuickBooks Desktop Pro,19,49,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
QuickBooks Desktop Pro,10,46,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
QuickBooks Desktop Pro,14,34,bank | reconciliation | currency,"bank, reconciliation, currency, feeds, bank feeds, transactions, account, currencies, bank reconciliation, bank account"
QuickBooks Desktop Pro,30,33,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
QuickBooks Desktop Pro,22,32,based | internet | access,"based, internet, access, offline, internet connection, version, connection, data, storage, server"
QuickBooks Desktop Pro,27,32,sync | save | data,"sync, save, data, syncing, backups, backup, saving, computer, lose, automatically"
QuickBooks Desktop Pro,16,29,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
QuickBooks Desktop Pro,23,26,love | enjoy | point,"love, enjoy, point, easy, sure, actually, going, let"
QuickBooks Desktop Pro,20,21,inventory | orders | inventory management,"inventory, orders, inventory management, order, sales, management, items, purchase, vendor, item"
QuickBooks Desktop Pro,35,20,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option"
QuickBooks Desktop Pro,17,19,customization | customizations | customize,"customization, customizations, customize, customizable, custom, options, customisation, customized, forms, technical"
QuickBooks Desktop Pro,21,18,search | searches | saved,"search, searches, saved, saved searches, fields, searching, saved search, search bar, word"
QuickBooks Desktop Pro,32,16,month | entry | reconciling,"month, entry, reconciling, entries, dates, date, post, auto, description"
QuickBooks Desktop Pro,36,15,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return"
QuickBooks Desktop Pro,38,14,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
